case_study_id	rater	rater_type	tag	principle	conversation_source	rating	answer_time_min
SC44077	sleep_primary_a	primary	overall	overall_quality	gemini_ultra	3	15.21666667
SC44077	sleep_secondary_a	secondary	overall	overall_quality	gemini_ultra	2	344.2
SC44077	sleep_primary_a	primary	overall	readable	gemini_ultra	4	15.21666667
SC44077	sleep_secondary_a	secondary	overall	readable	gemini_ultra	3	344.2
SC44077	sleep_primary_a	primary	recommendations	important_domain_knowledge	gemini_ultra	4	15.21666667
SC44077	sleep_secondary_a	secondary	recommendations	important_domain_knowledge	gemini_ultra	4	344.2
SC44077	sleep_primary_a	primary	recommendations	important_interpretations	gemini_ultra	4	15.21666667
SC44077	sleep_secondary_a	secondary	recommendations	important_interpretations	gemini_ultra	4	344.2
SC44077	sleep_primary_a	primary	recommendations	important_user_data	gemini_ultra	4	15.21666667
SC44077	sleep_secondary_a	secondary	recommendations	important_user_data	gemini_ultra	4	344.2
SC44077	sleep_primary_a	primary	recommendations	no_assumptions	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	recommendations	no_assumptions	gemini_ultra	5	344.2
SC44077	sleep_primary_a	primary	recommendations	no_hallucinations	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	recommendations	no_hallucinations	gemini_ultra	5	344.2
SC44077	sleep_primary_a	primary	recommendations	no_incorrect_domain_knowledge	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	recommendations	no_incorrect_domain_knowledge	gemini_ultra	4	344.2
SC44077	sleep_primary_a	primary	recommendations	no_incorrect_important_interpretations	gemini_ultra	4	15.21666667
SC44077	sleep_secondary_a	secondary	recommendations	no_incorrect_important_interpretations	gemini_ultra	3	344.2
SC44077	sleep_primary_a	primary	recommendations	no_incorrect_unimportant_interpretations	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	recommendations	no_incorrect_unimportant_interpretations	gemini_ultra	5	344.2
SC44077	sleep_primary_a	primary	recommendations	no_incorrect_user_data	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	recommendations	no_incorrect_user_data	gemini_ultra	5	344.2
SC44077	sleep_primary_a	primary	recommendations	no_unimportant_domain_knowledge	gemini_ultra	4	15.21666667
SC44077	sleep_secondary_a	secondary	recommendations	no_unimportant_domain_knowledge	gemini_ultra	2	344.2
SC44077	sleep_primary_a	primary	recommendations	no_unimportant_interpretations	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	recommendations	no_unimportant_interpretations	gemini_ultra	3	344.2
SC44077	sleep_primary_a	primary	recommendations	no_unimportant_user_data	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	recommendations	no_unimportant_user_data	gemini_ultra	5	344.2
SC44077	sleep_primary_a	primary	etiology	important_domain_knowledge	phllm_early_checkpoint	4	6.866666667
SC44077	sleep_secondary_a	secondary	etiology	important_domain_knowledge	phllm_early_checkpoint	2	112.7666667
SC44077	sleep_primary_a	primary	etiology	important_interpretations	phllm_early_checkpoint	4	6.866666667
SC44077	sleep_secondary_a	secondary	etiology	important_interpretations	phllm_early_checkpoint	3	112.7666667
SC44077	sleep_primary_a	primary	etiology	important_user_data	phllm_early_checkpoint	4	6.866666667
SC44077	sleep_secondary_a	secondary	etiology	important_user_data	phllm_early_checkpoint	2	112.7666667
SC44077	sleep_primary_a	primary	etiology	no_assumptions	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	etiology	no_assumptions	phllm_early_checkpoint	5	112.7666667
SC44077	sleep_primary_a	primary	etiology	no_hallucinations	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	etiology	no_hallucinations	phllm_early_checkpoint	4	112.7666667
SC44077	sleep_primary_a	primary	etiology	no_incorrect_domain_knowledge	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	etiology	no_incorrect_domain_knowledge	phllm_early_checkpoint	3	112.7666667
SC44077	sleep_primary_a	primary	etiology	no_incorrect_important_interpretations	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	etiology	no_incorrect_important_interpretations	phllm_early_checkpoint	2	112.7666667
SC44077	sleep_primary_a	primary	etiology	no_incorrect_unimportant_interpretations	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	etiology	no_incorrect_unimportant_interpretations	phllm_early_checkpoint	5	112.7666667
SC44077	sleep_primary_a	primary	etiology	no_incorrect_user_data	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	etiology	no_incorrect_user_data	phllm_early_checkpoint	3	112.7666667
SC44077	sleep_primary_a	primary	etiology	no_unimportant_domain_knowledge	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	etiology	no_unimportant_domain_knowledge	phllm_early_checkpoint	4	112.7666667
SC44077	sleep_primary_a	primary	etiology	no_unimportant_interpretations	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	etiology	no_unimportant_interpretations	phllm_early_checkpoint	3	112.7666667
SC44077	sleep_primary_a	primary	etiology	no_unimportant_user_data	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	etiology	no_unimportant_user_data	phllm_early_checkpoint	5	112.7666667
SC44077	sleep_primary_a	primary	insights	important_domain_knowledge	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	insights	important_domain_knowledge	phllm_early_checkpoint	5	112.7666667
SC44077	sleep_primary_a	primary	insights	important_interpretations	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	insights	important_interpretations	phllm_early_checkpoint	5	112.7666667
SC44077	sleep_primary_a	primary	insights	important_user_data	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	insights	important_user_data	phllm_early_checkpoint	5	112.7666667
SC44077	sleep_primary_a	primary	insights	no_assumptions	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	insights	no_assumptions	phllm_early_checkpoint	5	112.7666667
SC44077	sleep_primary_a	primary	insights	no_hallucinations	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	insights	no_hallucinations	phllm_early_checkpoint	3	112.7666667
SC44077	sleep_primary_a	primary	insights	no_incorrect_domain_knowledge	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	insights	no_incorrect_domain_knowledge	phllm_early_checkpoint	2	112.7666667
SC44077	sleep_primary_a	primary	insights	no_incorrect_important_interpretations	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	insights	no_incorrect_important_interpretations	phllm_early_checkpoint	2	112.7666667
SC44077	sleep_primary_a	primary	insights	no_incorrect_unimportant_interpretations	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	insights	no_incorrect_unimportant_interpretations	phllm_early_checkpoint	5	112.7666667
SC44077	sleep_primary_a	primary	insights	no_incorrect_user_data	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	insights	no_incorrect_user_data	phllm_early_checkpoint	3	112.7666667
SC44077	sleep_primary_a	primary	insights	no_unimportant_domain_knowledge	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	insights	no_unimportant_domain_knowledge	phllm_early_checkpoint	3	112.7666667
SC44077	sleep_primary_a	primary	insights	no_unimportant_interpretations	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	insights	no_unimportant_interpretations	phllm_early_checkpoint	5	112.7666667
SC44077	sleep_primary_a	primary	insights	no_unimportant_user_data	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	insights	no_unimportant_user_data	phllm_early_checkpoint	5	112.7666667
SC44077	sleep_primary_a	primary	overall	non_harmful	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	overall	non_harmful	phllm_early_checkpoint	1	112.7666667
SC44077	sleep_primary_a	primary	overall	overall_quality	phllm_early_checkpoint	3	6.866666667
SC44077	sleep_secondary_a	secondary	overall	overall_quality	phllm_early_checkpoint	2	112.7666667
SC44077	sleep_primary_a	primary	overall	readable	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	overall	readable	phllm_early_checkpoint	4	112.7666667
SC44077	sleep_primary_a	primary	recommendations	important_domain_knowledge	phllm_early_checkpoint	2	6.866666667
SC44077	sleep_secondary_a	secondary	recommendations	important_domain_knowledge	phllm_early_checkpoint	2	112.7666667
SC44077	sleep_primary_a	primary	recommendations	important_interpretations	phllm_early_checkpoint	2	6.866666667
SC44077	sleep_secondary_a	secondary	recommendations	important_interpretations	phllm_early_checkpoint	2	112.7666667
SC44077	sleep_primary_a	primary	recommendations	important_user_data	phllm_early_checkpoint	2	6.866666667
SC44077	sleep_secondary_a	secondary	recommendations	important_user_data	phllm_early_checkpoint	1	112.7666667
SC44077	sleep_primary_a	primary	recommendations	no_assumptions	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	recommendations	no_assumptions	phllm_early_checkpoint	5	112.7666667
SC44077	sleep_primary_a	primary	recommendations	no_hallucinations	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	recommendations	no_hallucinations	phllm_early_checkpoint	5	112.7666667
SC44077	sleep_primary_a	primary	recommendations	no_incorrect_domain_knowledge	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	recommendations	no_incorrect_domain_knowledge	phllm_early_checkpoint	4	112.7666667
SC44077	sleep_primary_a	primary	recommendations	no_incorrect_important_interpretations	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	recommendations	no_incorrect_important_interpretations	phllm_early_checkpoint	5	112.7666667
SC44077	sleep_primary_a	primary	recommendations	no_incorrect_unimportant_interpretations	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	recommendations	no_incorrect_unimportant_interpretations	phllm_early_checkpoint	5	112.7666667
SC44077	sleep_primary_a	primary	recommendations	no_incorrect_user_data	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	recommendations	no_incorrect_user_data	phllm_early_checkpoint	5	112.7666667
SC44077	sleep_primary_a	primary	recommendations	no_unimportant_domain_knowledge	phllm_early_checkpoint	4	6.866666667
SC44077	sleep_secondary_a	secondary	recommendations	no_unimportant_domain_knowledge	phllm_early_checkpoint	2	112.7666667
SC44077	sleep_primary_a	primary	recommendations	no_unimportant_interpretations	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	recommendations	no_unimportant_interpretations	phllm_early_checkpoint	2	112.7666667
SC44077	sleep_primary_a	primary	recommendations	no_unimportant_user_data	phllm_early_checkpoint	5	6.866666667
SC44077	sleep_secondary_a	secondary	recommendations	no_unimportant_user_data	phllm_early_checkpoint	5	112.7666667
SC44077	sleep_primary_a	primary	etiology	important_domain_knowledge	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	etiology	important_domain_knowledge	phllm	4	64.58333333
SC44077	sleep_secondary_b	secondary	etiology	important_domain_knowledge	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	etiology	important_interpretations	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	etiology	important_interpretations	phllm	4	64.58333333
SC44077	sleep_secondary_b	secondary	etiology	important_interpretations	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	etiology	important_user_data	phllm	4	8.516666667
SC44077	sleep_secondary_a	secondary	etiology	important_user_data	phllm	4	64.58333333
SC44077	sleep_secondary_b	secondary	etiology	important_user_data	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	etiology	no_assumptions	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	etiology	no_assumptions	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	etiology	no_assumptions	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	etiology	no_hallucinations	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	etiology	no_hallucinations	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	etiology	no_hallucinations	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	etiology	no_incorrect_domain_knowledge	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	etiology	no_incorrect_domain_knowledge	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	etiology	no_incorrect_domain_knowledge	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	etiology	no_incorrect_important_interpretations	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	etiology	no_incorrect_important_interpretations	phllm	4	64.58333333
SC44077	sleep_secondary_b	secondary	etiology	no_incorrect_important_interpretations	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	etiology	no_incorrect_unimportant_interpretations	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	etiology	no_incorrect_unimportant_interpretations	phllm	5	64.58333333
SC44077	sleep_primary_a	primary	etiology	no_incorrect_user_data	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	etiology	no_incorrect_user_data	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	etiology	no_incorrect_user_data	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	etiology	no_unimportant_domain_knowledge	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	etiology	no_unimportant_domain_knowledge	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	etiology	no_unimportant_domain_knowledge	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	etiology	no_unimportant_interpretations	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	etiology	no_unimportant_interpretations	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	etiology	no_unimportant_interpretations	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	etiology	no_unimportant_user_data	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	etiology	no_unimportant_user_data	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	etiology	no_unimportant_user_data	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	insights	important_domain_knowledge	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	insights	important_domain_knowledge	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	insights	important_domain_knowledge	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	insights	important_interpretations	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	insights	important_interpretations	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	insights	important_interpretations	phllm	4	23.28333333
SC44077	sleep_primary_a	primary	insights	important_user_data	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	insights	important_user_data	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	insights	important_user_data	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	insights	no_assumptions	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	insights	no_assumptions	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	insights	no_assumptions	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	insights	no_hallucinations	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	insights	no_hallucinations	phllm	2	64.58333333
SC44077	sleep_secondary_b	secondary	insights	no_hallucinations	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	insights	no_incorrect_domain_knowledge	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	insights	no_incorrect_domain_knowledge	phllm	2	64.58333333
SC44077	sleep_secondary_b	secondary	insights	no_incorrect_domain_knowledge	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	insights	no_incorrect_important_interpretations	phllm	4	8.516666667
SC44077	sleep_secondary_a	secondary	insights	no_incorrect_important_interpretations	phllm	2	64.58333333
SC44077	sleep_secondary_b	secondary	insights	no_incorrect_important_interpretations	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	insights	no_incorrect_unimportant_interpretations	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	insights	no_incorrect_unimportant_interpretations	phllm	5	64.58333333
SC44077	sleep_primary_a	primary	insights	no_incorrect_user_data	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	insights	no_incorrect_user_data	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	insights	no_incorrect_user_data	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	insights	no_unimportant_domain_knowledge	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	insights	no_unimportant_domain_knowledge	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	insights	no_unimportant_domain_knowledge	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	insights	no_unimportant_interpretations	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	insights	no_unimportant_interpretations	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	insights	no_unimportant_interpretations	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	insights	no_unimportant_user_data	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	insights	no_unimportant_user_data	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	insights	no_unimportant_user_data	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	overall	non_harmful	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	overall	non_harmful	phllm	3	64.58333333
SC44077	sleep_secondary_b	secondary	overall	non_harmful	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	overall	overall_quality	phllm	4	8.516666667
SC44077	sleep_secondary_a	secondary	overall	overall_quality	phllm	2	64.58333333
SC44077	sleep_secondary_b	secondary	overall	overall_quality	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	overall	readable	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	overall	readable	phllm	3	64.58333333
SC44077	sleep_secondary_b	secondary	overall	readable	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	recommendations	important_domain_knowledge	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	recommendations	important_domain_knowledge	phllm	4	64.58333333
SC44077	sleep_secondary_b	secondary	recommendations	important_domain_knowledge	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	recommendations	important_interpretations	phllm	4	8.516666667
SC44077	sleep_secondary_a	secondary	recommendations	important_interpretations	phllm	4	64.58333333
SC44077	sleep_secondary_b	secondary	recommendations	important_interpretations	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	recommendations	important_user_data	phllm	4	8.516666667
SC44077	sleep_secondary_a	secondary	recommendations	important_user_data	phllm	4	64.58333333
SC44077	sleep_secondary_b	secondary	recommendations	important_user_data	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	recommendations	no_assumptions	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	recommendations	no_assumptions	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	recommendations	no_assumptions	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	recommendations	no_hallucinations	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	recommendations	no_hallucinations	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	recommendations	no_hallucinations	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	recommendations	no_incorrect_domain_knowledge	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	recommendations	no_incorrect_domain_knowledge	phllm	4	64.58333333
SC44077	sleep_secondary_b	secondary	recommendations	no_incorrect_domain_knowledge	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	recommendations	no_incorrect_important_interpretations	phllm	4	8.516666667
SC44077	sleep_secondary_a	secondary	recommendations	no_incorrect_important_interpretations	phllm	4	64.58333333
SC44077	sleep_secondary_b	secondary	recommendations	no_incorrect_important_interpretations	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	recommendations	no_incorrect_unimportant_interpretations	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	recommendations	no_incorrect_unimportant_interpretations	phllm	5	64.58333333
SC44077	sleep_primary_a	primary	recommendations	no_incorrect_user_data	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	recommendations	no_incorrect_user_data	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	recommendations	no_incorrect_user_data	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	recommendations	no_unimportant_domain_knowledge	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	recommendations	no_unimportant_domain_knowledge	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	recommendations	no_unimportant_domain_knowledge	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	recommendations	no_unimportant_interpretations	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	recommendations	no_unimportant_interpretations	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	recommendations	no_unimportant_interpretations	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	recommendations	no_unimportant_user_data	phllm	5	8.516666667
SC44077	sleep_secondary_a	secondary	recommendations	no_unimportant_user_data	phllm	5	64.58333333
SC44077	sleep_secondary_b	secondary	recommendations	no_unimportant_user_data	phllm	5	23.28333333
SC44077	sleep_primary_a	primary	etiology	important_domain_knowledge	human_expert	5	35.55
SC44077	sleep_secondary_a	secondary	etiology	important_domain_knowledge	human_expert	4	123.5166667
SC44077	sleep_primary_a	primary	etiology	important_interpretations	human_expert	5	35.55
SC44077	sleep_secondary_a	secondary	etiology	important_interpretations	human_expert	4	123.5166667
SC44077	sleep_primary_a	primary	etiology	important_user_data	human_expert	5	35.55
SC44077	sleep_secondary_a	secondary	etiology	important_user_data	human_expert	4	123.5166667
SC44077	sleep_primary_a	primary	etiology	no_assumptions	human_expert	5	35.55
SC44077	sleep_secondary_a	secondary	etiology	no_assumptions	human_expert	4	123.5166667
SC44077	sleep_primary_a	primary	etiology	no_hallucinations	human_expert	5	35.55
SC44077	sleep_secondary_a	secondary	etiology	no_hallucinations	human_expert	4	123.5166667
SC44077	sleep_primary_a	primary	etiology	no_incorrect_domain_knowledge	human_expert	4	35.55
SC44077	sleep_secondary_a	secondary	etiology	no_incorrect_domain_knowledge	human_expert	5	123.5166667
SC44077	sleep_primary_a	primary	etiology	no_incorrect_important_interpretations	human_expert	4	35.55
SC44077	sleep_secondary_a	secondary	etiology	no_incorrect_important_interpretations	human_expert	3	123.5166667
SC44077	sleep_primary_a	primary	etiology	no_incorrect_unimportant_interpretations	human_expert	5	35.55
SC44077	sleep_secondary_a	secondary	etiology	no_incorrect_unimportant_interpretations	human_expert	5	123.5166667
SC44077	sleep_primary_a	primary	etiology	no_incorrect_user_data	human_expert	5	35.55
SC44077	sleep_secondary_a	secondary	etiology	no_incorrect_user_data	human_expert	4	123.5166667
SC44077	sleep_primary_a	primary	etiology	no_unimportant_domain_knowledge	human_expert	5	35.55
SC44077	sleep_secondary_a	secondary	etiology	no_unimportant_domain_knowledge	human_expert	5	123.5166667
SC44077	sleep_primary_a	primary	etiology	no_unimportant_interpretations	human_expert	5	35.55
SC44077	sleep_secondary_a	secondary	etiology	no_unimportant_interpretations	human_expert	5	123.5166667
